																	
	아이템 고유 번호	아이템 등급	아이템 이름	아이템 타입	아이템 기본 공격 속도	아이템 효과	아이템 효과 수치	조합 아이템 1	조합 아이템 2	아이템 세트 효과	세트 발동 장비 수	아이템 최대 레벨	아이템 가격	아이템 범위	아이템 크기	아이템 아이콘	기획자 확인란
	10230	0	체인메일	4	-	7	3	-	-	-	-	5	30	-	-	Images/Sprite/Item/Chainmail	패시브 아이템 '체인메일'
	10231	0	레더아머	4	-	7	2	-	-	0	4	5	30	-	-	Images/Sprite/Item/Leatheramor	패시브 아이템 '레더아머'
	10232	0	로브	4	-	7	1	-	-	-	-	5	30	-	-	Images/Sprite/Item/Robe	패시브 아이템 '로브'
	10260	0	레더부츠	4	-	8	1	-	-	0	4	5	30	-	-	Images/Sprite/Item/Leatherboots	패시브 아이템 '레더부츠'
	10261	0	짚신	4	-	8	3	-	-	-	-	5	30	-	-	Images/Sprite/Item/Strawshoes	패시브 아이템 '짚신'
	10262	0	실크슈즈	4	-	8	2	-	-	-	-	5	30	-	-	Images/Sprite/Item/Silkshoes	패시브 아이템 '실크슈즈'
	11000	3	연노	3	0.5	9	20	10100	10101	2	4	5	-	60	1	Images/Sprite/Item/Reapitingcrossbow	조합 아이템 '연노'
	11001	3	인법첩	3	0.5	10	50	10100	10104	3	4	5	-	40	1	Images/Sprite/Item/Ninjascroll	조합 아이템 '인법첩'
	11002	3	마름쇠	3	0.7	11	25	10101	10104	-	-	5	-	20	1	Images/Sprite/Item/Caltrop	조합 아이템 '마름쇠'
	11003	3	불대문자	3	0.3	12	80	10102	10105	-	-	5	-	30	2	Images/Sprite/Item/Fireblast	조합 아이템 '불대문자'
	11004	3	기폭찰	3	0.7	13	50	10104	10105	-	-	5	-	40	1.5	Images/Sprite/Item/ExplosiveSyuriken	조합 아이템 '기폭찰'
	11005	3	쌍검	3	1.5	14	15	10103	10104	-	-	5	-	30	1	Images/Sprite/Item/Doubleswords	조합 아이템 '쌍검'
	11100	3	배틀헬름	4	-	6	8	10200	10201	4	3	5	-	-	-	Images/Sprite/Item/Battlehelmet	조합 아이템 '베틀헬름'
	11101	3	마스크	4	-	6	6	10201	10202	3	-	5	-	-	-	Images/Sprite/Item/Mask	조합 아이템 '마스크'
	11102	3	꼬깔모자	4	-	6	4	10200	10202	1	4	5	-	-	-	Images/Sprite/Item/Cocklehat	조합 아이템 '꼬깔모자'
	11130	3	판금갑옷	4	-	7	8	10230	10231	4	3	5	-	-	-	Images/Sprite/Item/Platearmor	조합 아이템 '판금갑옷'
	11131	3	잠입복장	4	-	7	6	10230	10232	3	-	5	-	-	-	Images/Sprite/Item/Undercoverclothes	조합 아이템 '잠입복장'
	11132	3	마법로브	4	-	7	4	10231	10232	1	4	5	-	-	-	Images/Sprite/Item/Magicrobe	조합 아이템 '마법로브'
	11160	3	배틀부츠	4	-	8	4	10260	10261	4	3	5	-	-	-	Images/Sprite/Item/Battleboots	조합 아이템 '배틀부츠'
	11161	3	잠입신발	4	-	8	8	10260	10262	3	-	5	-	-	-	Images/Sprite/Item/Undercovershoes	조합 아이템 '잠입신발'
	11162	3	마법부츠	4	-	8	6	10262	10261	1	4	5	-	-	-	Images/Sprite/Item/Magicshoes	조합 아이템 '마법부츠'
